chr strand tss gene
chr11 - 17095938 RPS13
chr5 - 149823791 RPS14
chr19 + 1438362 RPS15
chr16 - 18794276 RPS15A
chr1 - 46111451 RPS15AP10
chr19 - 39923776 RPS16
chr15 - 83205500 RPS17
chr6_ssto_hap7 + 4720053 RPS18
chr19 + 42364336 RPS19
chr22 - 39925097 RPS19BP1
chr16 - 2012061 RPS2
chr8 - 56985367 RPS20
chr20 + 60962120 RPS21
chr5 - 81569138 RPS23
chr10 + 79793517 RPS24
chr11 - 118886421 RPS25
chr12 + 56435685 RPS26
chrX + 71264258 RPS26P11
chr1 + 153963238 RPS27
chr2 + 55459540 RPS27A
chr15 - 63445538 RPS27L
chr19 + 8386383 RPS28
chr14 - 50050289 RPS29
chr7 + 23530006 RPS2P32
chr11 + 75110534 RPS3
chr4 + 152020724 RPS3A
chrX - 71492452 RPS4X
chrY + 2709622 RPS4Y1
chrY + 22917953 RPS4Y2
chr19 + 58898635 RPS5
chr9 - 19376253 RPS6
chr1 + 26856248 RPS6KA1
chr6 - 166822851 RPS6KA2
chrX - 20168028 RPS6KA3
chr11 + 64126624 RPS6KA4
chr14 - 91334465 RPS6KA5
chrX - 83313353 RPS6KA6
chr17 + 57970406 RPS6KB1
chr11 + 67195934 RPS6KB2
chr1 + 213224574 RPS6KC1
chr14 - 75370656 RPS6KL1
chr2 + 3622852 RPS7
chr1 + 45241245 RPS8
chr19 + 54704761 RPS9
chr3 + 39448179 RPSA
chr12 - 66151799 RPSAP52
chr19 + 23945815 RPSAP58
chr9 + 79013514 RPSAP9
chr1 - 152126070 RPTN
chr17 + 78518624 RPTOR
chr16 - 834973 RPUSD1
chr15 + 40861491 RPUSD2
chr3 - 9879532 RPUSD3
chr11 - 126071988 RPUSD4
chr16 - 66955581 RRAD
chr9 + 19049371 RRAGA
chrX + 55744109 RRAGB
chr1 - 39303868 RRAGC
chr6 - 90074334 RRAGD
chr19 - 50138548 RRAS
chr11 - 14299465 RRAS2
chr20 - 17594322 RRBP1
chr6 + 7107829 RREB1
chr4 + 110749149 RRH
chr11 + 4115914 RRM1
chr2 + 10262862 RRM2
chr8 - 103216728 RRM2B
chr16 - 15153878 RRN3
chr16 - 21807950 RRN3P1
chr16 + 29086162 RRN3P2
chr16 - 22430866 RRN3P3
chr21 + 45209417 RRP1
chr10 - 99116457 RRP12
chr1 + 218458628 RRP15
chr21 + 45079431 RRP1B
chr22 - 42904340 RRP7A
chr11 - 6621143 RRP8
chr3 - 51967441 RRP9
chr8 + 67341262 RRS1
chrX - 18657807 RS1
chr17 + 48556160 RSAD1
chr2 + 7017795 RSAD2
chr1 - 114304453 RSBN1
chr7 + 77325742 RSBN1L
chr1 + 15986207 RSC1A1
chr11 - 77377273 RSF1
chr16 - 11928054 RSL1D1
chr15 - 55473511 RSL24D1
chr21 - 43892596 RSPH1
chr7 - 5965776 RSPH10B2
chr6 - 159393902 RSPH3
chr6 + 116937641 RSPH4A
chr19 - 46298967 RSPH6A
chr6 + 43612766 RSPH9
chr1 - 38076950 RSPO1
chr8 - 108911543 RSPO2
chr6 + 127440047 RSPO3
chr20 - 939095 RSPO4
chr16 + 57220195 RSPRY1
chr3 + 157827840 RSRC1
chr12 - 122989189 RSRC2
chr10 - 16632616 RSU1
chr19 - 12936290 RTBDN
chr20 + 62289162 RTEL1
chr15 + 41709301 RTF1
chr2 - 74652987 RTKN
chr10 - 63952844 RTKN2
chr14 - 101346991 RTL1
chr14 - 60062693 RTN1
chr19 - 45988545 RTN2
chr11 + 63448921 RTN3
chr2 - 55199325 RTN4
chr6 - 107018645 RTN4IP1
chr22 - 20228937 RTN4R
chr17 - 1837970 RTN4RL1
chr11 + 57228009 RTN4RL2
chr3 + 186915273 RTP1
chr3 - 187416046 RTP2
chr3 + 46539484 RTP3
chr3 + 187086167 RTP4
chr18 - 67671042 RTTN
chr5 + 178977561 RUFY1
chr10 - 70100863 RUFY2
chr4 + 71587558 RUFY3
chr2 + 218899656 RUFY4
chr17 + 41132578 RUNDC1
chr17 + 42385926 RUNDC3A
chr7 + 87257728 RUNDC3B
chr21 - 36160097 RUNX1
chr8 - 92967194 RUNX1T1
chr6 + 45296053 RUNX2
chr1 - 25226001 RUNX3
chr1 + 155293727 RUSC1
chr9 + 35489829 RUSC2
chr3 - 127799669 RUVBL1
chr19 + 49496704 RUVBL2
chr6 + 116892529 RWDD1
chr6 + 83903031 RWDD2A
chr21 - 30378079 RWDD2B
chr1 + 95699710 RWDD3
chr4 + 159442865 RXFP1
chr13 + 32313678 RXFP2
chr5 + 33936490 RXFP3
chr1 + 155911479 RXFP4
chr9 + 137271140 RXRA
chr6_qbl_hap6 - 4393583 RXRB
chr1 - 165370158 RXRG
chr3 - 72423743 RYBP
chr3 - 133875977 RYK
chr19 + 38924339 RYR1
chr1 + 237205701 RYR2
chr15 + 33603162 RYR3
chr1 + 153600872 S100A1
chr1 - 151955385 S100A10
chr1 - 152004981 S100A11
chr1 - 153346183 S100A12
chr1 - 153591275 S100A13
chr1 - 153586731 S100A14
chr1 - 153579358 S100A16
chr1 - 153533584 S100A2
chr1 - 153519808 S100A3
chr1 - 153516097 S100A4
chr1 - 153509622 S100A5
chr1 - 153507075 S100A6
chr1 - 153430219 S100A7
chr1 + 153388999 S100A7A
chr1 - 153409470 S100A7L2
chr1 - 153362507 S100A8
chr1 + 153330329 S100A9
chr21 - 48018530 S100B
chrX + 16668280 S100G
chr4 + 6695565 S100P
chr1 + 33290913 S100PBP
chr5 + 76145825 S100Z
chr1 + 101702304 S1PR1
chr19 - 10332108 S1PR2
chr9 + 91606323 S1PR3
chr19 + 3178735 S1PR4
chr19 - 10623417 S1PR5
chr11 + 18287771 SAA1
chr11 - 18266774 SAA2
chr11 - 18134018 SAA3P
chr11 - 18252901 SAA4
chr11 - 18101889 SAAL1
chr11 + 64808375 SAC3D1
chr3 + 45730732 SACM1L
chr13 - 23902961 SACS
chr19 + 47634079 SAE1
chr19 + 5623045 SAFB
chr19 - 5587009 SAFB2
chr2 + 234216308 SAG
chrX + 134975784 SAGE1
chr16 - 51169885 SALL1
chr14 - 21989230 SALL2
chr18 + 76740274 SALL3
chr20 - 50399255 SALL4
chr19 - 14198657 SAMD1
chr20 - 62605465 SAMD10
chr1 + 861120 SAMD11
chr8 - 119201695 SAMD12
chr1 + 84764048 SAMD13
chr17 - 48188672 SAMD14
chr6 - 130465446 SAMD3
chr14 + 55034329 SAMD4A
chr19 + 39833098 SAMD4B
chr6 + 147829827 SAMD5
chr3 + 169629359 SAMD7
chr10 + 76871392 SAMD8
chr7 - 92728825 SAMD9
chr7 - 92759366 SAMD9L
chr20 - 35520226 SAMHD1
chr22 + 44351260 SAMM50
chr21 - 15857548 SAMSN1
chr2 - 128698790 SAP130
chr13 + 21714652 SAP18
chr4 + 174292092 SAP30
chr17 + 73663195 SAP30BP
chr5 + 153825516 SAP30L
chr10 - 71909960 SAR1A
chr5 - 133936838 SAR1B
chr9 - 136528683 SARDH
chr17 + 26698682 SARM1
chr12 - 56151053 SARNP
chr1 + 109756514 SARS
chr19 - 39405903 SARS2
chr11 + 65729159 SART1
chr12 - 108915990 SART3
chr6 + 148593411 SASH1
chrX + 128913891 SASH3
chr1 - 100549100 SASS6
chrX + 23801274 SAT1
chr17 - 7529551 SAT2
chr3 - 18386879 SATB1
chr2 - 200134222 SATB2
chrX - 84347291 SATL1
chr14 - 51100297 SAV1
chr7 - 66452663 SBDS
chr7 + 72299951 SBDSP1
chr22 - 50883430 SBF1
chr8 - 56361756 SBF1P1
chr11 - 9800213 SBF2
chr16 + 28303839 SBK1
chr19 - 56041099 SBK2
chr12 - 123773655 SBNO1
chr19 - 1107632 SBNO2
chr19 - 36014268 SBSN
chr19 + 50145381 SCAF1
chr9 - 127704887 SCAI
chr5 + 77656326 SCAMP1
chr15 - 75136070 SCAMP2
chr1 - 155225769 SCAMP3
chr19 + 1905212 SCAMP4
chr15 + 75287875 SCAMP5
chr20 - 34541538 SCAND1
chr3 - 47455174 SCAP
chr15 - 76640526 SCAPER
chr8 + 27491576 SCARA3
chr8 - 27727398 SCARA5
chr12 - 125262173 SCARB1
chr4 - 77079891 SCARB2
chr17 - 1537151 SCARF1
chr22 - 20778873 SCARF2
chr1 + 28160911 SCARNA1
chr12 + 6619387 SCARNA10
chr12 - 6690638 SCARNA11
chr12 - 7076499 SCARNA12
chr15 - 66639543 SCARNA14
chr15 + 83424696 SCARNA15
chr17 + 75085388 SCARNA16
chr18 + 47340392 SCARNA17
chr5 - 82360022 SCARNA18
chr1 + 109642814 SCARNA2
chr17 - 58308876 SCARNA20
chr17 + 7809440 SCARNA21
chr4 + 1976362 SCARNA22
chrX + 24762557 SCARNA23
chr6 - 8086640 SCARNA27
chr1 - 175937532 SCARNA3
chr1 - 155895748 SCARNA4
chr2 + 234184371 SCARNA5
chr2 + 234197321 SCARNA6
chr3 - 160232694 SCARNA7
chr9 - 19063653 SCARNA8
chr11 + 93454679 SCARNA9
chrX - 20154183 SCARNA9L
chr1 + 246887377 SCCPDH
chr10 + 102106771 SCD
chr4 - 83550689 SCD5
chr13 + 78109808 SCEL
chr14 + 31091459 SCFD1
chr4 - 53739150 SCFD2
chr2 - 224461657 SCG2
chr15 + 51973549 SCG3
chr15 + 32933813 SCG5
chr11 + 62186506 SCGB1A1
chr11 + 193079 SCGB1C1
chr11 + 61957709 SCGB1D1
chr11 + 62009723 SCGB1D2
chr11 - 62063753 SCGB1D4
chr11 + 61976139 SCGB2A1
chr11 + 62037626 SCGB2A2
chr5 - 180017104 SCGB3A1
chr5 + 147258273 SCGB3A2
chr6 + 25652428 SCGN
chr3 + 159557649 SCHIP1
chr7 + 12610202 SCIN
chr4 - 129805147 SCLT1
chr2 + 238969564 SCLY
chr1 - 41492870 SCMH1
chrX + 17755568 SCML1
chrX - 18257432 SCML2
chr6 - 108023360 SCML4
chr3 - 38738836 SCN10A
chr3 - 38887259 SCN11A
chr2 - 166845669 SCN1A
chr19 + 35521591 SCN1B
chr2 + 166150340 SCN2A
chr11 - 118033518 SCN2B
chr2 - 165944029 SCN3A
chr11 - 123499894 SCN3B
chr17 - 62015913 SCN4A
chr11 - 118004091 SCN4B
chr3 - 38589552 SCN5A
chr2 - 167260082 SCN7A
chr12 + 51985019 SCN8A
chr2 - 167051696 SCN9A
chr1 + 151138497 SCNM1
chr12 - 6456008 SCNN1A
chr16 + 23313590 SCNN1B
chr1 + 1215815 SCNN1D
chr16 + 23194039 SCNN1G
chr17 - 10583648 SCO1
chr22 - 50961996 SCO2
chr4 + 141264596 SCOC
chr1 + 53392900 SCP2
chr17 + 55055467 SCPEP1
chr4 - 174309298 SCRG1
chr8 - 144873089 SCRIB
chr7 - 29959718 SCRN1
chr17 - 45915046 SCRN2
chr2 + 175260456 SCRN3
chr8 - 145554227 SCRT1
chr20 - 642239 SCRT2
chr11 - 626315 SCT
chr2 - 120197418 SCTR
chr22 - 43599228 SCUBE1
chr11 - 9041046 SCUBE2
chr6 + 35181838 SCUBE3
chr11 + 65292547 SCYL1
chr12 + 100660917 SCYL2
chr1 - 169822214 SCYL3
chr4 - 76871058 SDAD1
chr2 - 20400557 SDC1
chr8 + 97505881 SDC2
chr1 - 31342312 SDC3
chr20 - 43953928 SDC4
chr22 - 30877276 SDC4P
chr8 + 59465727 SDCBP
chr20 - 1290554 SDCBP2
chr9 - 139296373 SDCCAG3
chr1 + 243419306 SDCCAG8
chr17 - 26975373 SDF2
chr22 + 21996541 SDF2L1
chr1 - 1152287 SDF4
chr5 + 218337 SDHA
chr19 + 36486089 SDHAF1
chr11 + 61197596 SDHAF2
chr3 - 195686791 SDHAP1
chr3 + 195384909 SDHAP2
chr5 - 1572072 SDHAP3
chr1 - 17345224 SDHB
chr1 + 161284165 SDHC
chr11 + 111957547 SDHD
chr7 + 4169316 SDK1
chr17 - 71330522 SDK2
chr2 - 192699031 SDPR
chr8 - 57212206 SDR16C5
chr14 - 24908971 SDR39U1
chr16 - 82031250 SDR42E1
chr12 - 57316937 SDR9C7
chr12 - 113830250 SDS
chr12 + 113860194 SDSL
chr17 - 26691289 SEBOX
chr15 - 85212767 SEC11A
chr18 + 56807088 SEC11C
chr3 - 10342612 SEC13
chr17 + 75137004 SEC14L1
chr22 + 30792929 SEC14L2
chr22 - 30855215 SEC14L3
chr22 - 30884897 SEC14L4
chr16 + 5008317 SEC14L5
chr9 - 139334547 SEC16A
chr1 - 177898241 SEC16B
chr3 + 122920773 SEC22A
chr1 + 145096406 SEC22B
chr3 - 42589458 SEC22C
chr14 - 39501122 SEC23A
chr20 + 18488187 SEC23B
chr10 + 121652084 SEC23IP
chr5 + 133984474 SEC24A
chr4 + 110354870 SEC24B
chr10 + 75504130 SEC24C
chr4 - 119643977 SEC24D
chr4 - 83739661 SEC31A
chr10 - 102246402 SEC31B
chr3 + 127771211 SEC61A1
chr10 + 12171639 SEC61A2
chr9 + 101984569 SEC61B
chr7 - 54819939 SEC61G
chr3 + 169684579 SEC62
chr6 - 108188959 SEC63
chr9 + 91933765 SECISBP2
chr15 - 49280834 SECISBP2L
chr17 - 80278899 SECTM1
chr18 + 12947982 SEH1L
chr14 - 81965153 SEL1L
chr20 - 13830043 SEL1L2
chr4 - 25749048 SEL1L3
chr1 - 169691780 SELE
chr1 - 151336777 SELENBP1
chr1 - 169659805 SELL
chr1 - 169558087 SELP
chr12 - 109015679 SELPLG
chr7 - 83587658 SEMA3A
chr3 + 50304989 SEMA3B
chr7 - 80371853 SEMA3C
chr7 - 84624871 SEMA3D
chr7 - 82993221 SEMA3E
chr3 + 50192843 SEMA3F
chr3 - 52467050 SEMA3G
chr1 + 156119734 SEMA4A
chr15 + 90735188 SEMA4B
chr2 - 97525472 SEMA4C
chr9 - 91992151 SEMA4D
chr2 + 74881354 SEMA4F
chr10 + 102732285 SEMA4G
chr5 - 9035137 SEMA5A
chr3 - 122628039 SEMA5B
chr5 - 115779250 SEMA6A
chr19 - 4542599 SEMA6B
chr1 - 151104162 SEMA6C
chr15 + 47476402 SEMA6D
chr15 - 74701624 SEMA7A
chr20 + 43835604 SEMG1
chr20 + 43850009 SEMG2
chr12 - 48436680 SENP1
chr3 + 185304030 SENP2
chr17 + 7465308 SENP3
chr3 + 196594726 SENP5
chr6 + 76311224 SENP6
chr3 - 101090696 SENP7
chr15 + 72410630 SENP8
chr10 - 13359437 SEPHS1
chr16 - 30454945 SEPHS2
chr4 - 25121626 SEPSECS
chr16 - 30389453 SEPT1
chr2 - 110300373 SEPT10
chr4 + 77870866 SEPT11
chr16 - 4827614 SEPT12
chr7 - 55861236 SEPT14
chr2 + 242255275 SEPT2
chr22 + 42372930 SEPT3
chr17 - 56597610 SEPT4
chr22 + 19701986 SEPT5
chrX - 118750908 SEPT6
chr7 + 35840595 SEPT7
chr7 - 45763385 SEPT7P2
chr5 - 132086508 SEPT8
chr17 + 75277491 SEPT9
chr6 - 158530535 SERAC1
chr1 - 67873492 SERBP1
chr5 + 69321071 SERF1A
chr15 + 44069293 SERF2
chr11 - 17809595 SERGEF
chr22 + 42896584 SERHL
chr22 + 42949867 SERHL2
chr6 - 122764492 SERINC1
chr1 + 31886659 SERINC2
chr20 - 43124861 SERINC3
chr15 - 44086371 SERINC4
chr5 - 79407049 SERINC5
chr3 - 150259779 SERP1
chr13 + 44947977 SERP2
chr14 - 94843083 SERPINA1
chr14 - 94749649 SERPINA10
chr14 - 94908800 SERPINA11
chr14 - 94953610 SERPINA12
chr14 + 95078713 SERPINA3
chr14 + 95027756 SERPINA4
chr14 + 95047705 SERPINA5
chr14 - 94770584 SERPINA6
chrX - 105277189 SERPINA7
chr14 - 94929057 SERPINA9
chr6 - 2832565 SERPINB1
chr18 + 61575223 SERPINB10
chr18 + 61369537 SERPINB11
chr18 + 61223392 SERPINB12
chr18 + 61254533 SERPINB13
chr18 + 61554938 SERPINB2
chr18 - 61322430 SERPINB3
chr18 - 61304492 SERPINB4
chr18 + 61144143 SERPINB5
chr6 - 2948392 SERPINB6
chr18 + 61420280 SERPINB7
chr18 + 61637262 SERPINB8
chr6 - 2887499 SERPINB9
chr1 - 173872941 SERPINC1
chr22 + 21128382 SERPIND1
chr7 + 100770369 SERPINE1
chr2 - 224839764 SERPINE2
chr13 + 51915167 SERPINE3
chr17 + 1665218 SERPINF1
chr17 + 1646129 SERPINF2
chr11 + 57365026 SERPING1
chr11 + 75273100 SERPINH1
chr3 + 167453431 SERPINI1
chr3 - 167159576 SERPINI2
chr19 - 40928408 SERTAD1
chr2 - 64858754 SERTAD2
chr19 - 40946747 SERTAD3
chr1 + 210406194 SERTAD4
chr6 - 109307639 SESN1
chr1 + 28585962 SESN2
chr11 - 94898676 SESN3
chr2 - 179966418 SESTD1
chr9 + 131451508 SET
chr18 + 42260862 SETBP1
chr16 + 30968614 SETD1A
chr12 + 122242637 SETD1B
chr3 - 47057897 SETD2
chr14 - 99864082 SETD3
chr21 - 37406838 SETD4
chr3 + 9439383 SETD5
chr16 + 58549382 SETD6
chr4 - 140417088 SETD7
chr1 + 150898814 SETDB1
chr13 + 50018428 SETDB2
chr3 + 4344987 SETMAR
chr9 - 135136826 SETX
chr17 - 27281946 SEZ6
chr22 + 26565439 SEZ6L
chr16 - 29882479 SEZ6L2
chr11 - 64532075 SF1
chr22 - 30727976 SF3A1
chr19 + 2236815 SF3A2
chr1 - 38422651 SF3A3
chr2 - 198256697 SF3B1
chr11 + 65819815 SF3B2
chr16 + 70557690 SF3B3
chr1 - 149895208 SF3B4
chr6 - 144416017 SF3B5
chr22 + 31892124 SFI1
chr3 - 52937582 SFMBT1
chr10 - 7200585 SFMBT2
chr1 + 27189632 SFN
chr1 - 35641978 SFPQ
chr8 - 41119475 SFRP1
chr4 - 154701741 SFRP2
chr7 - 37945534 SFRP4
chr10 - 99526507 SFRP5
chr6 - 166733215 SFT2D1
chr1 + 168195254 SFT2D2
chr2 + 128458596 SFT2D3
chr10 - 10826401 SFTA1P
chr6_mcf_hap5 - 2281065 SFTA2
chr14 - 36942493 SFTA3
chr10 + 81370694 SFTPA1
chr10 - 81315607 SFTPA2
chr2 - 85884439 SFTPB
chr8 + 22019183 SFTPC
chr10 - 81697495 SFTPD
chr5 + 174905500 SFXN1
chr10 + 104474297 SFXN2
chr10 + 102790995 SFXN3
chr10 - 120900424 SFXN4
chr2 - 73169164 SFXN5
chr17 + 48243345 SGCA
chr4 - 52886860 SGCB
chr5 + 155753766 SGCD
chr7 - 94214535 SGCE
chr13 + 23755059 SGCG
chr8 - 13942343 SGCZ
chr1 + 66999251 SGIP1
chr6 - 134490383 SGK1
chr20 + 42187634 SGK2
chr8 + 67687415 SGK3
chr17 - 26934981 SGK494
chr10 - 52065344 SGMS1
chr4 + 108814419 SGMS2
chr10 + 72575703 SGPL1
chr14 - 64150934 SGPP1
chr2 + 223288770 SGPP2
chr17 - 78183078 SGSH
chr22 + 25202187 SGSM1
chr17 + 2240807 SGSM2
chr22 + 40766565 SGSM3
chr19 - 2754711 SGTA
chr5 - 64961754 SGTB
chr16 + 28875077 SH2B1
chr7 + 101928352 SH2B2
chr12 + 111843751 SH2B3
chrX + 123480131 SH2D1A
chr1 - 162365055 SH2D1B
chr1 - 156776034 SH2D2A
chr19 - 6752172 SH2D3A
chr9 - 130500595 SH2D3C
chr8 + 19171080 SH2D4A
chr10 + 82297657 SH2D4B
chr1 - 21046224 SH2D5
chr2 + 85646053 SH2D6
chr15 + 78384926 SH2D7
chr21 + 40823755 SH3BGR
chrX + 80457302 SH3BGRL
chr6 + 80340821 SH3BGRL2
chr1 + 26606212 SH3BGRL3
chr22 + 38035683 SH3BP1
chr4 + 2820540 SH3BP2
chr2 + 235860627 SH3BP4
chr3 - 15295862 SH3BP5
chr1 - 249104644 SH3BP5L
chr4 - 152041432 SH3D19
chr19 - 4360363 SH3GL1
chr9 + 17578951 SH3GL2
chr15 + 84115979 SH3GL3
chr1 + 87170252 SH3GLB1
chr9 - 131770071 SH3GLB2
chrX - 19552082 SH3KBP1
chr10 - 105353783 SH3PXD2A
chr5 - 171752186 SH3PXD2B
chr4 - 170015406 SH3RF1
chr5 + 145316125 SH3RF2
chr2 + 109745996 SH3RF3
chr4 + 8200970 SH3TC1
chr5 - 148361712 SH3TC2
chr2 - 218135 SH3YL1
chr19 - 51162513 SHANK1
chr11 - 70313960 SHANK2
chr22 + 51113069 SHANK3
chr8 - 145153539 SHARPIN
chr9 - 37915894 SHB
chr17 + 7533411 SHBG
chr1 - 154934773 SHC1
chr19 - 416582 SHC2
chr9 - 91620685 SHC3
chr15 - 49115933 SHC4
chr16 - 46612504 SHCBP1
chr19 + 4278597 SHD
chr1 - 154451953 SHE
chr15 - 45459411 SHF
chr7 - 155592677 SHH
chr13 - 26618734 SHISA2
chr4 + 42399855 SHISA3
chr1 + 201857796 SHISA4
chr3 - 48509196 SHISA5
chr17 + 11144739 SHISA6
chr19 - 55940104 SHISA7
chr16 + 12995476 SHISA9
chr19 + 41082756 SHKBP1
chr17 - 18231173 SHMT1
chr12 + 57623355 SHMT2
chr10 + 112679300 SHOC2
chrY + 535078 SHOX
chr3 - 157813799 SHOX2
chr17 - 3511555 SHPK
chr6 - 146205944 SHPRH
chr3 - 72798427 SHQ1
chr5 - 132157832 SHROOM1
chrX + 9880411 SHROOM2
chr4 + 77356252 SHROOM3
chrX - 50334642 SHROOM4
chr3 - 164696685 SI
chr11 - 124505684 SIAE
chr16 - 48394445 SIAH1
chr3 - 150458909 SIAH2
chr13 - 46354415 SIAH3
chr3 + 113251217 SIDT1
chr11 + 117049938 SIDT2
chr11 - 405715 SIGIRR
chr20 - 3667616 SIGLEC1
chr19 - 51913274 SIGLEC10
chr19 - 50452249 SIGLEC11
chr19 - 51994480 SIGLEC12
chr19 - 52145805 SIGLEC14
chr18 + 43405544 SIGLEC15
chr19 + 50472856 SIGLEC16
chr19 - 52114755 SIGLEC5
chr19 - 52021072 SIGLEC6
chr19 + 51645557 SIGLEC7
chr19 - 51954250 SIGLEC8
chr19 + 51628136 SIGLEC9
chr9 - 34634718 SIGMAR1
chr21 - 44834398 SIK1
chr11 + 111473114 SIK2
chr11 - 116714117 SIK3
chr1 - 115312104 SIKE1
chr5 - 138282409 SIL1
chr6 - 100836749 SIM1
chr21 + 38071420 SIM2
chr15 - 75661719 SIN3A
chr19 + 16940197 SIN3B
chr11 + 65405577 SIPA1
chr14 + 71996028 SIPA1L1
chr1 - 232533711 SIPA1L2
chr19 + 38397860 SIPA1L3
chr20 + 1875424 SIRPA
chr20 - 1577985 SIRPB1
chr20 - 1455235 SIRPB2
chr20 - 1514896 SIRPD
chr20 - 1609797 SIRPG
chr10 + 69644426 SIRT1
chr19 - 39369194 SIRT2
chr11 - 215029 SIRT3
chr12 + 120740123 SIRT4
chr6 + 13574760 SIRT5
chr19 - 4174105 SIRT6
chr17 - 79869814 SIRT7
chr9 - 35649296 SIT1
chr14 + 105219469 SIVA1
chr14 - 61111416 SIX1
chr2 - 45232323 SIX2
chr2 + 45169036 SIX3
chr14 - 61176255 SIX4
chr19 - 46268042 SIX5
chr14 + 60975937 SIX6
chr18 + 47901391 SKA1
chr17 - 57187307 SKA2
chr13 - 21727733 SKA3
chr17 - 46210801 SKAP1
chr7 - 26706680 SKAP2
chr1 + 2160133 SKI
chr3 + 170075472 SKIL
chr6_mcf_hap5 + 3306424 SKIV2L
chr5 + 54603575 SKIV2L2
chr5 - 133492081 SKP1
chr5 + 36152144 SKP2
chr8 - 134048972 SLA
chr20 - 35240923 SLA2
chr13 + 78315294 SLAIN1
chr4 + 48343612 SLAIN2
chr1 - 160577889 SLAMF1
chr1 - 160454819 SLAMF6
chr1 + 160708846 SLAMF7
chr1 + 159796478 SLAMF8
chr1 - 159921281 SLAMF9
chr4 - 1694457 SLBP
chr14 - 70242551 SLC10A1
chr13 - 103696347 SLC10A2
chrX - 153715644 SLC10A3
chr4 + 48485359 SLC10A4
chr8 - 82605890 SLC10A5
chr4 - 87744620 SLC10A6
chr4 - 147175139 SLC10A7
chr2 + 219246751 SLC11A1
chr12 - 51373565 SLC11A2
chr15 + 48498497 SLC12A1
chr5 + 127419482 SLC12A2
chr16 + 56899118 SLC12A3
chr16 - 67977376 SLC12A4
chr20 + 44650328 SLC12A5
chr15 - 34522196 SLC12A6
chr5 - 1050488 SLC12A7
chr3 - 124801479 SLC12A8
chr7 + 100450340 SLC12A9
chr7 - 122753587 SLC13A1
chr17 + 26800663 SLC13A2
chr20 - 45186461 SLC13A3
chr7 - 135365986 SLC13A4
chr17 - 6588031 SLC13A5
chr18 + 43304087 SLC14A1
chr18 + 42792946 SLC14A2
chr13 - 99336054 SLC15A1
chr3 + 121613170 SLC15A2
chr11 - 60704554 SLC15A3
chr12 - 129277738 SLC15A4
chr1 - 113454469 SLC16A1
chr6 + 111408780 SLC16A10
chr17 - 6944948 SLC16A11
chr10 - 91190050 SLC16A12
chr17 + 6939393 SLC16A13
chr2 - 230899689 SLC16A14
chrX + 73641327 SLC16A2
chr17 + 80186886 SLC16A3
chr1 - 110905472 SLC16A4
chr17 + 73083821 SLC16A5
chr17 - 66263166 SLC16A6
chr12 + 60083117 SLC16A7
chr22 - 38474143 SLC16A8
chr10 - 61410521 SLC16A9
chr6 - 25783125 SLC17A1
chr6 - 25912983 SLC17A2
chr6 - 25845327 SLC17A3
chr6 + 25754926 SLC17A4
chr6 - 74303101 SLC17A5
chr11 + 22359666 SLC17A6
chr19 - 49932654 SLC17A7
chr12 + 100750856 SLC17A8
chr20 + 61583998 SLC17A9
chr8 - 20002365 SLC18A1
chr10 + 119000583 SLC18A2
chr10 + 50818346 SLC18A3
chr21 - 46934628 SLC19A1
chr1 - 169433148 SLC19A2
chr2 - 228549925 SLC19A3
chr9 + 4490426 SLC1A1
chr11 - 35272751 SLC1A2
chr5 + 36606456 SLC1A3
chr2 + 65215578 SLC1A4
chr19 - 47278139 SLC1A5
chr19 - 15060844 SLC1A6
chr1 - 53552850 SLC1A7
chr2 + 113403433 SLC20A1
chr8 - 42273979 SLC20A2
chr6 + 160542862 SLC22A1
chr11 + 63057418 SLC22A10
chr11 + 64323072 SLC22A11
chr11 + 64358281 SLC22A12
chr3 + 38307297 SLC22A13
chr3 + 38347426 SLC22A14
chr1 + 116519118 SLC22A15
chr6 - 110745891 SLC22A16
chr14 - 23815519 SLC22A17
chr11 + 2923649 SLC22A18
chr11 - 2908574 SLC22A18AS
chr6 - 160637793 SLC22A2
chr11 + 64981310 SLC22A20
chr6 - 3269206 SLC22A23
chr11 - 62885994 SLC22A24
chr11 - 62931295 SLC22A25
chr6 + 160769404 SLC22A3
chr5 + 131630144 SLC22A4
chr5 + 131705400 SLC22A5
chr11 - 62744068 SLC22A6
chr6 + 43265997 SLC22A7
chr11 - 62760295 SLC22A8
chr11 + 63137260 SLC22A9
chr5 - 138702884 SLC23A1
chr20 - 4833001 SLC23A2
chr2 - 220026180 SLC23A3
chr15 + 65916292 SLC24A1
chr9 - 19507449 SLC24A2
chr20 + 19193289 SLC24A3
chr14 + 92788924 SLC24A4
chr15 + 48413168 SLC24A5
chr22 - 19163087 SLC25A1
chr17 + 79679265 SLC25A10
chr17 - 4840425 SLC25A11
chr2 - 172639914 SLC25A12
chr7 - 95749531 SLC25A13
chrX + 129473861 SLC25A14
chr13 + 41363546 SLC25A15
chr10 - 70242089 SLC25A16
chr22 - 41165633 SLC25A17
chr22 + 18043138 SLC25A18
chr17 - 73269060 SLC25A19
chr5 - 140682195 SLC25A2
chr3 - 48894355 SLC25A20
chr14 - 37147125 SLC25A21
chr11 - 790474 SLC25A22
chr19 - 6440074 SLC25A23
chr1 - 108677343 SLC25A24
chr9 + 130860760 SLC25A25
chr3 + 66119284 SLC25A26
chr6 + 46620651 SLC25A27
